cognate_id	lect_id	segments	confidence
short-070	spanish	k o r t o	1.0
white-071	latin	b l a n k u	1.0
white-071	spanish	b l a n k o	1.0
black-072	latin	n i g r u	1.0
black-072	spanish	n e g r o	1.0
red-073	latin	r u b j u	1.0
red-073	spanish	r o x o	1.0
green-074	latin	v i r i d e	1.0
green-074	spanish	b e r d e	1.0
sweet-075	latin	d u l k e	1.0
sweet-075	spanish	d u l θ e	1.0
cold-076	latin	f r i g i d u	1.0
cold-076	spanish	f r i o	1.0
hot-077	latin	k a l i d u	1.0
hot-077	spanish	k a l j e n t e	1.0
see-078	latin	v i d e r e	1.0
see-078	spanish	b e r	1.0
hear-079	latin	a u d i r e	1.0
hear-079	spanish	o j i r	1.0
eat-080	latin	k o m e d e r e	1.0
eat-080	spanish	k o m e r	1.0
drink-081	latin	b i b e r e	1.0
drink-081	spanish	b e b e r	1.0
speak-082	latin	l o q u i	1.0
speak-082	spanish	a b l a r	1.0
know-083	latin	s a p e r e	1.0
know-083	spanish	s a b e r	1.0
come-084	latin	v e n i r e	1.0
come-084	spanish	b e n i r	1.0
go-085	latin	i r e	1.0
go-085	spanish	i r	1.0
give-086	latin	d a r e	1.0
give-086	spanish	d a r	1.0
take-087	latin	p r e n d e r e	1.0
take-087	spanish	p r e n d e r	1.0
say-088	latin	d i k e r e	1.0
say-088	spanish	d e θ i r	1.0
make-089	latin	f a k e r e	1.0
make-089	spanish	a θ e r	1.0
sleep-090	latin	d o r m i r e	1.0
sleep-090	spanish	d o r m i r	1.0
die-091	latin	m o r i r e	1.0
die-091	spanish	m o r i r	1.0
live-092	latin	v i v e r e	1.0
live-092	spanish	b i b i r	1.0
love-093	latin	a m a r e	1.0
love-093	spanish	a m a r	1.0
die-094	latin	m o r i	1.0
die-094	spanish	m o r i r	1.0
break-095	latin	f r a n g e r e	1.0
break-095	spanish	r o m p e r	1.0
walk-096	latin	a m b u l a r e	1.0
walk-096	spanish	a n d a r	1.0
