corpus                                              cond  ident   frag  xdim   dens   conj
testdata/restraint/sparse_008.tsv                      0    n/a   1.00     0    n/a    n/a
testdata/restraint/sparse_016.tsv                      2   0.50   1.00     0    n/a   1.00
testdata/restraint/sparse_032.tsv                      2   0.50   1.00     0    n/a   1.50
testdata/restraint/sparse_064.tsv                      2   0.50   1.00     0    n/a   1.50
testdata/restraint/sparse_128.tsv                      2   0.50   1.00     0    n/a   1.50
testdata/restraint/stratum.tsv                         0    n/a   1.00     0    n/a    n/a
testdata/diagnostics/contaminated.tsv                  0    n/a   1.00     0    n/a    n/a
testdata/diagnostics/drift.tsv                         2   0.50   1.00     0    n/a   1.00
testdata/diagnostics/partial.tsv                       0    n/a   1.00     0    n/a    n/a
testdata/linguistic/confounded_conditioning.tsv        1   0.00   1.00     0    n/a   1.00
testdata/linguistic/deconfounded_conditioning.tsv      1   0.00   1.00     0    n/a   1.00
testdata/linguistic/repeated_etymon.tsv                1   0.00   1.00     0    n/a   1.00
testdata/linguistic/taxon_sampling_2lect.tsv           1   0.00   1.00     0    n/a   1.00
testdata/linguistic/taxon_sampling_3lect.tsv           1   0.00   1.00     0    n/a   2.00
testdata/linguistic/taxon_sampling_4lect.tsv           1   0.00   1.00     0    n/a   2.00
testdata/corpora/conditioned_multilect.tsv             1   1.00   1.00     0    n/a   2.00
testdata/corpora/conditioned_palatalization.tsv        0    n/a   1.00     0    n/a    n/a
testdata/corpora/doublet.tsv                           0    n/a   1.00     0    n/a    n/a
testdata/corpora/gaps_and_length.tsv                   0    n/a   1.00     0    n/a    n/a
testdata/corpora/joint_tonogenesis.tsv                 0    n/a   1.00    11   0.36    n/a
testdata/corpora/length_dimension_target.tsv           0    n/a   1.00     4   1.00    n/a
testdata/corpora/long_range.tsv                        1   1.00   1.00     0    n/a   1.00
testdata/corpora/partial_coverage.tsv                  0    n/a   0.23     0    n/a    n/a
testdata/corpora/real_contaminated.tsv                 0    n/a   1.00     0    n/a    n/a
testdata/corpora/real_latin_spanish.tsv                9   0.22   1.00     0    n/a   1.00
testdata/corpora/real_ppn_hawaiian.tsv                 2   0.50   1.00     0    n/a   1.00
testdata/corpora/real_romance_4lect.tsv               13   0.46   0.98     0    n/a   1.08
testdata/corpora/real_tone_chinese.tsv                 0    n/a   1.00     0    n/a    n/a
testdata/corpora/stress_dimension_target.tsv           0    n/a   1.00     4   1.00    n/a
testdata/corpora/syllable_breaks_column.tsv            0    n/a   1.00     0    n/a    n/a
testdata/corpora/three_lect_basic.tsv                  0    n/a   1.00     0    n/a    n/a
testdata/corpora/tonal_multilect.tsv                   0    n/a   1.00     0    n/a    n/a
testdata/corpora/tonogenesis_cldf.tsv                  0    n/a   1.00     2   1.00    n/a
testdata/corpora/tonogenesis_internal.tsv              0    n/a   1.00     4   1.00    n/a

TOTAL identity            51.0 / 129.0    = 0.3953
TOTAL fragmentation    15839.0 / 16886.0  = 0.9380
TOTAL density             18.0 / 25.0     = 0.7200
TOTAL conjuncts          156.0 / 129.0    = 1.2093
